,feature_importances_
latitude,0.04461443437401984
longitude,0.04746039709333134
year_built_imp_med,0.12382084632805974
buildings_cor,0.005237854975469709
floors_cor_imp_med,0.09434358039532158
units_cor_imp_med,0.0264883493528767
shop_1_dist,0.010958176582804107
shop_2_dist,0.012187901477399444
shop_3_dist,0.01714022256399598
shop_4_dist,0.023043084095061915
shop_5_dist,0.039073196089051576
school_1_dist,0.010907658186351421
school_2_dist,0.011390743497202014
school_3_dist,0.016169936217072748
school_4_dist,0.01279416555064255
school_5_dist,0.016140154935606194
res_1_dist,0.011737374139807041
res_2_dist,0.01232867598743578
res_3_dist,0.027369902815117166
res_4_dist,0.03030308337571017
res_5_dist,0.014049073226274059
hospital_dist,0.02908196734949273
Elevator,0.00016369900198915575
Parking,5.13197640884464e-08
Security,7.418174966438953e-05
CCTV,0.0
Pool,0.01845562977954881
Sauna,0.0036059599460266157
Gym,0.009328523856740665
Garden,0.02597098405741038
Playground,0.0021989183715663595
Shop,0.007168274473696518
Restaurant,0.0006093614837004238
Wifi,0.0026944496018666774
trans_dist_1,0.05485579693359543
trans_dist_2,0.028621231662520955
trans_dist_3,0.0373243005902353
trans_dist_4,0.09800015829392916
trans_dist_5,0.07428770026964114
