,coef
latitude,-7420.803227185435
longitude,-5170.740279257378
year_built_imp_med,19585.586988680818
buildings_cor,1168.2733141256826
floors_cor_imp_med,25735.63551736642
units_cor_imp_med,-10744.609664322486
shop_1_dist,-5117.330218538326
shop_2_dist,2607.1159050593355
shop_3_dist,-12158.840436069522
shop_4_dist,13293.84226489543
shop_5_dist,-6965.913871835453
school_1_dist,4553.789597666921
school_2_dist,676.9863570204357
school_3_dist,-4298.067496007682
school_4_dist,3004.108546069801
school_5_dist,-2257.3430358726273
res_1_dist,3883.4676931689673
res_2_dist,-17.16844973372726
res_3_dist,-4520.274331629189
res_4_dist,3224.1220791890496
res_5_dist,-5462.805461539735
hospital_dist,-6406.151659599262
Elevator,-18862.50660618247
Parking,13112.133586290245
Security,-24392.625202704
CCTV,-33583.858963299484
Pool,7528.058771752521
Sauna,-207.76686803113583
Gym,214.1666504909791
Garden,7051.216950569636
Playground,3737.594258882271
Shop,-7222.727396488259
Restaurant,-2712.281630086028
Wifi,397.9539437169234
trans_dist_1,6996.729132534955
trans_dist_2,-7953.967323140611
trans_dist_3,-5457.763287595602
trans_dist_4,3406.196908215637
trans_dist_5,-3657.3019004579405
